character,short description,tags,LLM description
🅱,B BUTTON (BLOOD TYPE),"['blood type' 'B' 'medical' 'donation' 'transfusion' 'identification'
 'communication']","This emoji represents the 'B' blood type symbol, often used in medical contexts or when discussing blood donation and transfusion, as well as in personal identification and communication about one's blood type."
🇧🇸,BAHAMAS,['Bahamas' 'flag' 'Caribbean' 'beach' 'marine life' 'travel'],"This emoji represents the Bahamas, a Caribbean country known for its beautiful beaches, crystal-clear waters, and vibrant marine life."
🇧🇭,BAHRAIN,['Bahrain' 'flag' 'Middle East' 'island' 'culture' 'tourism' 'finance'],"This emoji represents Bahrain, a small island country in the Persian Gulf known for its rich history, vibrant culture, and modern developments in tourism and finance."
🇧🇩,BANGLADESH,['Bangladesh' 'flag' 'South Asia' 'culture' 'textile'],"This emoji represents Bangladesh, a country in South Asia known for its rich cultural heritage, diverse landscapes, and a significant role in the global textile industry."
🇧🇧,BARBADOS,['Barbados' 'flag' 'Caribbean' 'island' 'culture' 'history'],"This emoji represents Barbados, a Caribbean island country known for its beautiful beaches, vibrant culture, and rich history, including its role as a former British colony."
🇧🇾,BELARUS,['Belarus' 'flag' 'Eastern Europe' 'history' 'architecture' 'landscape'],"This emoji represents Belarus, a landlocked Eastern European country known for its rich history, diverse landscapes, and a mix of Soviet-era architecture and modern developments."
🇧🇪,BELGIUM,['Belgium' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Belgium, a Western European country known for its rich history, diverse culture, and famous landmarks like the Atomium and Manneken Pis."
🇧🇿,BELIZE,['Belize' 'flag' 'Central America' 'nature' 'culture' 'heritage'],"This emoji represents Belize, a Central American country known for its beautiful natural landscapes, diverse ecosystems, and rich cultural heritage."
🇧🇯,BENIN,['Benin' 'flag' 'Africa' 'culture' 'heritage'],"This emoji represents Benin, a West African country known for its rich cultural heritage, including the Royal Palaces of Abomey and the fascinating art of the Somba people."
🇧🇲,BERMUDA,['Bermuda' 'flag' 'island' 'travel' 'beach' 'maritime' 'history'],"This emoji represents Bermuda, a British island territory known for its pink sand beaches, crystal-clear waters, and rich maritime history, including the famous Bermuda Triangle."
🇧🇹,BHUTAN,['Bhutan' 'flag' 'culture' 'Himalayas' 'landscape' 'happiness'],"This emoji represents Bhutan, a small landlocked country in the Eastern Himalayas, known for its stunning landscapes, rich culture, and the concept of Gross National Happiness as a measure of progress."
🇧🇴,BOLIVIA,['Bolivia' 'flag' 'South America' 'culture' 'heritage' 'festival'],"This emoji represents Bolivia, a landlocked country in South America known for its diverse landscapes, rich cultural heritage, and vibrant festivals."
🇧🇦,BOSNIA & HERZEGOVINA,['Bosnia and Herzegovina' 'flag' 'Southeast Europe' 'culture' 'history'],"This emoji represents Bosnia and Herzegovina, a country in Southeast Europe known for its rich history, diverse cultures, and beautiful landscapes."
🇧🇼,BOTSWANA,['Botswana' 'flag' 'Africa' 'culture' 'democracy' 'human rights'],"This emoji represents Botswana, a landlocked country in Southern Africa known for its diverse wildlife, rich cultural heritage, and progressive policies promoting democracy and human rights."
🇧🇻,BOUVET ISLAND,"['Bouvet Island' 'island' 'South Atlantic Ocean' 'uninhabited' 'remote'
 'inaccessible' 'territory']","This emoji represents Bouvet Island, an uninhabited subantarctic island located in the South Atlantic Ocean, known for its remote and challenging location, making it one of the world's most inaccessible territories."
🇧🇷,BRAZIL,['Brazil' 'flag' 'South America' 'culture' 'nature' 'travel'],"This emoji represents Brazil, a South American country known for its diverse culture, vibrant cities, and stunning natural landscapes, including the Amazon rainforest."
🇮🇴,BRITISH INDIAN OCEAN TERRITORY,"['British Indian Ocean Territory' 'flag' 'territory' 'Indian Ocean'
 'dispute' 'marine life']","This emoji represents the British Indian Ocean Territory, a disputed territory in the Indian Ocean, known for its strategic location and rich marine life."
🇻🇬,BRITISH VIRGIN ISLANDS,['British Virgin Islands' 'flag' 'Caribbean' 'travel' 'nature' 'sailing'],"This emoji represents the British Virgin Islands, a British Overseas Territory known for its stunning beaches, lush green landscapes, and popular sailing destinations."
🇧🇳,BRUNEI,"['Brunei' 'flag' 'Southeast Asia' 'culture' 'economy' 'ancient temples'
 'rainforests']","This emoji represents Brunei, a small Southeast Asian nation known for its ancient temples, lush rainforests, and a strong economy driven by oil and natural gas."
🇧🇬,BULGARIA,['Bulgaria' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Bulgaria, a southeastern European country known for its rich history, diverse landscapes, and cultural heritage including traditional music and dance."
🇧🇫,BURKINA FASO,['Burkina Faso' 'flag' 'West Africa' 'culture' 'heritage' 'arts'],"This emoji represents Burkina Faso, a landlocked country in West Africa known for its rich cultural heritage, diverse landscapes, and vibrant arts scene."
🇧🇮,BURUNDI,['Burundi' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Burundi, an African country known for its rich culture, beautiful landscapes, and a history marked by political instability."
🆑,CL BUTTON,"['call button' 'communication' 'telephone' 'assistance' 'request'
 'customer service']","This emoji represents a call button, often used in telecommunications and customer service to initiate a call or request assistance."
🆒,COOL BUTTON,['cool' 'approval' 'casual' 'relaxation' 'button'],"This emoji represents a cool button, often used to express a sense of approval, relaxation, or casualness in a conversation."
🇰🇭,CAMBODIA,['Cambodia' 'flag' 'Southeast Asia' 'culture' 'history' 'tourism'],"This emoji represents Cambodia, a Southeast Asian country known for its rich history, including the ancient Khmer Empire and its iconic temples like Angkor Wat, as well as its beautiful beaches and cultural heritage."
🇨🇲,CAMEROON,['Cameroon' 'flag' 'culture' 'Africa' 'nature' 'wildlife'],"This emoji represents Cameroon, a Central African country known for its diverse cultures, lush landscapes, and rich wildlife, including the famous mountain gorillas in its rainforests."
🇨🇦,CANADA,['Canada' 'flag' 'country' 'North America' 'multicultural' 'culture'],"This emoji represents Canada, a North American country known for its diverse landscapes, multicultural population, and strong cultural and political values."
🇮🇨,CANARY ISLANDS,['Canary Islands' 'Spain' 'archipelago' 'tourism' 'nature' 'wildlife'],"This emoji represents the Canary Islands, a Spanish archipelago located in the Atlantic Ocean, known for its beautiful landscapes, diverse wildlife, and popular tourist destinations."
♋,CANCER,['Cancer' 'zodiac' 'astrology' 'water sign' 'crab' 'emotional' 'nurturing'],"This emoji represents the zodiac sign Cancer, a water sign known for its emotional depth, intuition, and nurturing nature, often associated with the crab symbol."
🇨🇻,CAPE VERDE,['Cape Verde' 'flag' 'Africa' 'culture' 'music' 'island'],"This emoji represents Cape Verde, an archipelagic country in West Africa known for its beautiful beaches, vibrant music, and rich cultural heritage."
♑,CAPRICORN,"['Capricorn' 'zodiac' 'astrology' 'goat' 'responsibility' 'ambition'
 'Earth element']","This emoji represents Capricorn, the tenth sign of the zodiac, symbolizing ambition, responsibility, and the Earth element, often associated with the goat's head or a semi-circle of stars."
🇧🇶,CARIBBEAN NETHERLANDS,['Caribbean Netherlands' 'flag' 'region' 'islands' 'Netherlands'],"This emoji represents the Caribbean Netherlands, a region consisting of three islands in the Caribbean Sea that are part of the Kingdom of the Netherlands."
🇰🇾,CAYMAN ISLANDS,['Cayman Islands' 'flag' 'Caribbean' 'beach' 'marine life' 'finance'],"This emoji represents the Cayman Islands, a British Overseas Territory known for its beautiful beaches, thriving financial sector, and diverse marine life."
🇨🇫,CENTRAL AFRICAN REPUBLIC,['Central African Republic' 'flag' 'Africa' 'culture' 'peace' 'stability'],"This emoji represents the Central African Republic, a landlocked country in the heart of Africa known for its diverse cultures, natural resources, and efforts towards peace and stability."
🇪🇦,CEUTA & MELILLA,"['Ceuta' 'Melilla' 'Spain' 'Morocco' 'enclaves' 'culture' 'Spanish'
 'Moroccan']","This emoji represents Ceuta and Melilla, two Spanish enclaves located on the northern coast of Morocco, known for their unique cultural blend of Spanish and Moroccan influences."
🇹🇩,CHAD,['Chad' 'flag' 'Africa' 'culture' 'heritage' 'history'],"This emoji represents Chad, a landlocked country in Central Africa known for its diverse landscapes, rich cultural heritage, and historical sites like the ancient city of Djourab."
🇨🇱,CHILE,['Chile' 'flag' 'South America' 'culture' 'landscape' 'heritage' 'arts'],"This emoji represents Chile, a South American country known for its diverse landscapes, including the Atacama Desert, the Andes Mountains, and the Easter Island statues, as well as its rich cultural heritage and vibrant arts scene."
🇨🇳,CHINA,['China' 'flag' 'culture' 'history' 'landmark' 'technology' 'cuisine'],"This emoji represents China, a country with a rich history, diverse culture, and a significant impact on global affairs, known for its ancient civilization, landmarks like the Great Wall, and contributions to technology and cuisine."
🇨🇽,CHRISTMAS ISLAND,"['Christmas Island' 'flag' 'Australia' 'wildlife' 'beaches' 'nature'
 'migration']","This emoji represents Christmas Island, a territory of Australia known for its unique wildlife, beautiful beaches, and the annual Christmas Island red crab migration."
🎄,CHRISTMAS TREE,"['Christmas tree' 'holiday' 'celebration' 'decoration' 'festive' 'winter'
 'Christmas']","This emoji represents a Christmas tree, an evergreen conifer decorated with lights, ornaments, and a star, symbolizing the celebration of Christmas and the arrival of the holiday season."
🇨🇵,CLIPPERTON ISLAND,"['Clipperton Island' 'French territory' 'Pacific Ocean' 'island'
 'geography' 'history']","This emoji represents Clipperton Island, a small, uninhabited French territory located in the Pacific Ocean, known for its unique history and geographical features."
🇨🇨,COCOS (KEELING) ISLANDS,"['Cocos (Keeling) Islands' 'flag' 'Indian Ocean' 'island' 'nature'
 'culture']","This emoji represents Cocos (Keeling) Islands, a small island group located in the Indian Ocean, known for its pristine beaches, diverse wildlife, and unique cultural heritage."
🇨🇴,COLOMBIA,['Colombia' 'flag' 'South America' 'culture' 'geography'],"This emoji represents Colombia, a country in South America known for its diverse landscapes, rich culture, and vibrant cities like Bogotá and Medellín."
🇰🇲,COMOROS,"['Comoros' 'flag' 'island' 'Indian Ocean' 'culture' 'Africa' 'Arab'
 'marine life' 'beach']","This emoji represents Comoros, an island country in the Indian Ocean known for its unique blend of African, Arab, and Malagasy cultures, as well as its beautiful beaches and diverse marine life."
🇨🇬,CONGO-BRAZZAVILLE,"['Congo-Brazzaville' 'flag' 'Africa' 'culture' 'heritage' 'wildlife'
 'natural resources']","This emoji represents the flag of Congo-Brazzaville, a Central African country known for its rich cultural heritage, diverse wildlife, and natural resources."
🇨🇩,CONGO-KINSHASA,['Congo-Kinshasa' 'flag' 'Africa' 'culture' 'history' 'wildlife'],"This emoji represents the Democratic Republic of the Congo, a Central African nation known for its rich cultural heritage, diverse wildlife, and complex history."
🇨🇰,COOK ISLANDS,"['Cook Islands' 'flag' 'South Pacific' 'Polynesian' 'culture' 'islands'
 'nature']","This emoji represents the Cook Islands, a group of islands in the South Pacific known for their beautiful beaches, rich Polynesian culture, and unique wildlife."
🇨🇷,COSTA RICA,['Costa Rica' 'flag' 'Central America' 'nature' 'wildlife' 'eco-tourism'],"This emoji represents Costa Rica, a Central American country known for its lush rainforests, diverse wildlife, and eco-tourism destinations."
🇭🇷,CROATIA,['Croatia' 'flag' 'Europe' 'coast' 'culture' 'history'],"This emoji represents Croatia, a southeastern European country known for its beautiful coastlines, rich history, and vibrant culture."
🇨🇺,CUBA,['Cuba' 'flag' 'Caribbean' 'culture' 'history'],"This emoji represents Cuba, a Caribbean island nation known for its rich history, vibrant culture, and iconic landmarks such as the Malecón seawall and the Capitolio building."
🇨🇼,CURAÇAO,['Curaçao' 'island' 'Caribbean' 'culture' 'beach' 'Dutch' 'history'],"This emoji represents Curaçao, a Caribbean island known for its vibrant culture, beautiful beaches, and rich history as a Dutch colony."
🇨🇾,CYPRUS,['Cyprus' 'flag' 'Mediterranean' 'island' 'culture' 'history'],"This emoji represents Cyprus, a Mediterranean island nation known for its rich history, beautiful beaches, and a blend of cultures including Greek and Turkish influences."
🇨🇿,CZECHIA,"['Czech Republic' 'flag' 'Central Europe' 'history' 'architecture'
 'culture']","This emoji represents the Czech Republic, a landlocked country in Central Europe known for its rich history, beautiful architecture, and contributions to science and culture."
🇨🇮,CÔTE D’IVOIRE,"[""Côte d'Ivoire"" 'Ivory Coast' 'West Africa' 'flag' 'culture' 'rainforest'
 'cocoa']","This emoji represents Côte d'Ivoire, also known as Ivory Coast, a West African country known for its diverse cultures, lush rainforests, and significant role in the cocoa industry."
🇩🇰,DENMARK,['Denmark' 'flag' 'Scandinavian' 'culture' 'history'],"This emoji represents Denmark, a Scandinavian country known for its rich history, beautiful landscapes, and contributions to culture, science, and technology."
🇩🇬,DIEGO GARCIA,"['Diego Garcia' 'British Overseas Territory' 'Chagos Archipelago'
 'Indian Ocean' 'military' 'wildlife']","This emoji represents Diego Garcia, a British Overseas Territory and the largest island of the Chagos Archipelago in the Indian Ocean, known for its strategic military importance and unique wildlife."
🇩🇯,DJIBOUTI,['Djibouti' 'flag' 'Africa' 'landscape' 'geography'],"This emoji represents Djibouti, a small African country known for its unique landscapes, including the Lake Assal, and its strategic location on the Horn of Africa."
🇩🇲,DOMINICA,['Dominica' 'flag' 'Caribbean' 'island' 'culture' 'rainforest' 'heritage'],"This emoji represents Dominica, a Caribbean island nation known for its lush rainforests, volcanic features, and a rich cultural heritage influenced by African, European, and indigenous roots."
🇩🇴,DOMINICAN REPUBLIC,"['Dominican Republic' 'flag' 'Caribbean' 'culture' 'history' 'music'
 'sports' 'festivals']","This emoji represents the Dominican Republic, a Caribbean country known for its beautiful beaches, rich history, and vibrant culture, including music, sports, and traditional festivals."
🔚,END ARROW,['end' 'arrow' 'conclusion' 'termination' 'completion' 'finish' 'stop'],"This emoji represents an end arrow, often used to indicate the conclusion, termination, or completion of something."
🇪🇨,ECUADOR,['Ecuador' 'flag' 'South America' 'culture' 'nature' 'heritage'],"This emoji represents Ecuador, a country in South America known for its diverse landscapes, including the Andes Mountains, the Galapagos Islands, and the Amazon rainforest, as well as its rich cultural heritage and history."
🇪🇬,EGYPT,['Egypt' 'flag' 'history' 'civilization' 'ancient'],"This emoji represents Egypt, a country known for its ancient civilization, rich history, and iconic landmarks such as the Pyramids of Giza and the Sphinx."
🇸🇻,EL SALVADOR,['El Salvador' 'flag' 'Central America' 'culture' 'heritage'],"This emoji represents El Salvador, a Central American country known for its beautiful landscapes, rich cultural heritage, and vibrant traditions."
🏴󠁧󠁢󠁥󠁮󠁧󠁿,ENGLAND,['England' 'United Kingdom' 'flag' 'culture' 'history' 'landmark'],"This emoji represents England, a country in the United Kingdom known for its rich history, culture, and iconic landmarks such as the Tower of London and Buckingham Palace."
🇬🇶,EQUATORIAL GUINEA,['Equatorial Guinea' 'flag' 'Africa' 'culture' 'rainforest' 'oil'],"This emoji represents Equatorial Guinea, a West African country known for its diverse culture, lush rainforests, and significant oil reserves."
🇪🇷,ERITREA,['Eritrea' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Eritrea, a country in the Horn of Africa known for its diverse cultures, beautiful coastlines, and rich history dating back to ancient civilizations."
🇪🇪,ESTONIA,['Estonia' 'flag' 'Northern Europe' 'culture' 'history'],"This emoji represents Estonia, a Northern European country known for its rich history, beautiful landscapes, and thriving startup culture."
🇸🇿,ESWATINI,"['Eswatini' 'Swaziland' 'Africa' 'country' 'culture' 'landscape'
 'Swazi people']","This emoji represents Eswatini, also known as Swaziland, a small landlocked country in Southern Africa, known for its rich culture, diverse landscapes, and the Swazi people."
🇪🇹,ETHIOPIA,['Ethiopia' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Ethiopia, a country in the Horn of Africa known for its rich history, diverse cultures, and unique landscapes, including the Great Rift Valley and the Ethiopian Highlands."
🇪🇺,EUROPEAN UNION,"['European Union' 'flag' 'Europe' 'unity' 'cooperation' 'politics'
 'economy']","This emoji represents the European Union, a political and economic union of 27 member states located primarily in Europe, symbolizing unity, cooperation, and shared values among its members."
🆓,FREE BUTTON,['free' 'button' 'availability' 'cost' 'accessibility' 'openness'],"This emoji represents a free button, often used to indicate that something is available without cost or charge, promoting a sense of openness and accessibility."
🇫🇰,FALKLAND ISLANDS,"['Falkland Islands' 'flag' 'British Overseas Territory'
 'South Atlantic Ocean' 'wildlife' 'penguins' 'seals' 'strategy']","This emoji represents the Falkland Islands, a British Overseas Territory located in the South Atlantic Ocean, known for its wildlife, including penguins and seals, and its strategic importance in the region."
🇫🇴,FAROE ISLANDS,['Faroe Islands' 'flag' 'Nordic' 'nature' 'culture' 'archipelago'],"This emoji represents the Faroe Islands, a self-governing archipelago located in the North Atlantic Ocean, known for its stunning landscapes, rich wildlife, and unique cultural heritage."
🇫🇯,FIJI,['Fiji' 'flag' 'island' 'culture' 'travel' 'nature'],"This emoji represents Fiji, a tropical island nation known for its beautiful beaches, vibrant coral reefs, and rich cultural heritage."
🇫🇮,FINLAND,"['Finland' 'flag' 'Nordic' 'culture' 'landscape' 'technology' 'heritage'
 'sauna' 'Sámi']","This emoji represents Finland, a Nordic country known for its beautiful landscapes, innovative technology, and rich cultural heritage, including the famous Finnish sauna and the unique Sámi people."
🇫🇷,FRANCE,['France' 'flag' 'culture' 'European' 'history' 'Eiffel Tower'],"This emoji represents France, a country known for its rich history, culture, landmarks like the Eiffel Tower, and contributions to art, fashion, and cuisine."
🇬🇫,FRENCH GUIANA,['French Guiana' 'flag' 'South America' 'culture' 'rainforest' 'wildlife'],"This emoji represents French Guiana, a region in South America with a rich cultural heritage and diverse ecosystems, known for its dense rainforests and unique wildlife."
🇵🇫,FRENCH POLYNESIA,"['French Polynesia' 'flag' 'islands' 'South Pacific' 'culture'
 'Polynesian']","This emoji represents French Polynesia, a collection of islands in the South Pacific known for their stunning landscapes, vibrant culture, and rich Polynesian heritage."
🇹🇫,FRENCH SOUTHERN TERRITORIES,"['French Southern Territories' 'flag' 'territory' 'Indian Ocean' 'France'
 'research' 'conservation']","This emoji represents the French Southern and Antarctic Territories, a group of islands and territories in the Indian Ocean, administered by France and used for scientific research and conservation efforts."
🇬🇦,GABON,['Gabon' 'flag' 'Africa' 'culture' 'rainforest' 'wildlife'],"This emoji represents Gabon, a West Central African country known for its lush rainforests, diverse wildlife, and rich cultural heritage."
🇬🇲,GAMBIA,['Gambia' 'flag' 'Africa' 'culture' 'history' 'wildlife'],"This emoji represents the Gambia, a small West African country known for its rich history, diverse wildlife, and vibrant culture."
♊,GEMINI,"['Gemini' 'zodiac' 'duality' 'adaptability' 'communication' 'twins'
 'astrology']","This emoji represents Gemini, the third astrological sign in the zodiac, symbolizing duality, adaptability, and communication, often associated with the twins in Greek mythology."
🇬🇪,GEORGIA,['Georgia' 'flag' 'Eastern Europe' 'culture' 'history'],"This emoji represents Georgia, a country in Eastern Europe known for its rich history, diverse landscapes, and unique cultural heritage."
🇩🇪,GERMANY,['Germany' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Germany, a country in Europe known for its rich history, culture, and contributions to science, technology, and arts."
🇬🇭,GHANA,['Ghana' 'flag' 'Africa' 'culture' 'music'],"This emoji represents Ghana, a West African country known for its rich history, diverse cultures, and vibrant music scene, including the famous highlife genre."
🇬🇮,GIBRALTAR,['Gibraltar' 'flag' 'British' 'Iberian Peninsula' 'history'],"This emoji represents Gibraltar, a British Overseas Territory located at the southern tip of the Iberian Peninsula, known for its iconic Rock of Gibraltar and rich history."
🇬🇷,GREECE,['Greece' 'flag' 'culture' 'history' 'travel' 'ancient civilization'],"This emoji represents Greece, a country known for its rich history, ancient civilization, and iconic landmarks such as the Parthenon, as well as its beautiful islands and vibrant culture."
🇬🇱,GREENLAND,['Greenland' 'flag' 'Arctic' 'Inuit' 'culture' 'climate change'],"This emoji represents Greenland, a large island country in the Arctic region known for its stunning landscapes, rich Inuit culture, and its impact on climate change."
🇬🇩,GRENADA,['Grenada' 'flag' 'Caribbean' 'island' 'culture' 'heritage'],"This emoji represents Grenada, a Caribbean island nation known for its beautiful beaches, lush rainforests, and vibrant culture with strong ties to its African heritage."
🇬🇵,GUADELOUPE,['Guadeloupe' 'flag' 'Caribbean' 'France' 'culture' 'Creole' 'cuisine'],"This emoji represents Guadeloupe, a French overseas department and region in the Caribbean known for its beautiful beaches, rich culture, and vibrant Creole cuisine."
🇬🇺,GUAM,['Guam' 'flag' 'island' 'culture' 'Pacific Ocean' 'United States'],"This emoji represents Guam, an island territory of the United States known for its beautiful beaches, rich culture, and strategic location in the Pacific Ocean."
🇬🇹,GUATEMALA,"['Guatemala' 'flag' 'Central America' 'culture' 'heritage' 'Mayan'
 'textiles' 'celebration' 'Day of the Dead']","This emoji represents Guatemala, a Central American country known for its rich Mayan heritage, diverse landscapes, and vibrant culture, including traditional textiles and colorful celebrations like Day of the Dead."
🇬🇬,GUERNSEY,"['Guernsey' 'flag' 'British' 'island' 'English Channel' 'culture'
 'heritage']","This emoji represents Guernsey, a British Crown dependency located in the English Channel, known for its beautiful coastline, rich history, and strong cultural heritage."
🇬🇳,GUINEA,['Guinea' 'flag' 'West Africa' 'culture' 'heritage'],"This emoji represents Guinea, a West African country known for its rich cultural heritage, diverse landscapes, and historical significance in the region."
🇬🇼,GUINEA-BISSAU,['Guinea-Bissau' 'flag' 'Africa' 'culture' 'history' 'nature'],"This emoji represents Guinea-Bissau, a West African country known for its vibrant culture, rich history, and diverse ecosystems including mangrove swamps, tropical forests, and sandy beaches."
🇬🇾,GUYANA,['Guyana' 'flag' 'South America' 'nature' 'culture' 'heritage'],"This emoji represents Guyana, a country in South America known for its diverse ecosystems, including rainforests, wetlands, and coastal regions, as well as its rich cultural heritage and history."
🇭🇹,HAITI,['Haiti' 'flag' 'Caribbean' 'culture' 'resilience'],"This emoji represents Haiti, a Caribbean country known for its rich culture, vibrant music, and resilient people who have faced numerous challenges throughout history."
🇭🇲,HEARD & MCDONALD ISLANDS,"['Heard and McDonald Islands' 'territory' 'Indian Ocean' 'wildlife'
 'geology' 'remote']","This emoji represents Heard and McDonald Islands, a remote and uninhabited territory located in the Indian Ocean, known for its unique wildlife and geological features."
🇭🇳,HONDURAS,['Honduras' 'flag' 'Central America' 'culture' 'heritage'],"This emoji represents Honduras, a Central American country known for its diverse landscapes, rich cultural heritage, and vibrant traditions."
🇭🇰,HONG KONG SAR CHINA,['Hong Kong' 'China' 'flag' 'culture' 'city' 'trade' 'finance' 'skyline'],"This emoji represents Hong Kong Special Administrative Region of China, a vibrant city known for its unique blend of Eastern and Western cultures, iconic skyline, and significant role in global trade and finance."
